,Filename,Quality_1,Quality_2,Quality_3,Quality_4,Quality_5,Predicted_Quality
0,video10451.mp4__frame110.png,0.001,0.024,0.864,0.169,0.006,3.347
1,video10451.mp4__frame132.png,0.072,0.893,0.0,0.0,0.0,1.858
2,video10451.mp4__frame154.png,0.0,0.0,0.893,0.054,0.018,2.9850000000000003
3,video10451.mp4__frame176.png,0.588,0.681,0.0,0.003,0.0,1.9620000000000002
4,video10451.mp4__frame22.png,0.196,0.863,0.007,0.0,0.0,1.9429999999999998
5,video10451.mp4__frame44.png,0.0,0.798,0.377,0.02,0.0,2.8070000000000004
6,video10451.mp4__frame66.png,0.004,0.777,0.416,0.022,0.003,2.9090000000000003
7,video10451.mp4__frame88.png,0.003,0.906,0.001,0.003,0.0,1.8299999999999998
8,video10452.mp4__frame110.png,0.0,0.0,0.854,0.229,0.004,3.4979999999999998
9,video10452.mp4__frame132.png,0.001,0.0,0.903,0.018,0.0,2.782
10,video10452.mp4__frame154.png,0.885,0.103,0.01,0.0,0.0,1.121
11,video10452.mp4__frame176.png,0.906,0.005,0.0,0.0,0.0,0.916
12,video10452.mp4__frame22.png,0.373,0.705,0.232,0.004,0.0,2.495
13,video10452.mp4__frame44.png,0.305,0.15,0.771,0.022,0.0,3.0060000000000002
14,video10452.mp4__frame66.png,0.197,0.298,0.143,0.66,0.065,4.187
15,video10452.mp4__frame88.png,0.025,0.253,0.652,0.417,0.002,4.165
16,video10453.mp4__frame110.png,0.0,0.001,0.139,0.868,0.042,4.101
17,video10453.mp4__frame132.png,0.0,0.0,0.176,0.868,0.006,4.03
18,video10453.mp4__frame154.png,0.0,0.0,0.905,0.01,0.0,2.755
19,video10453.mp4__frame176.png,0.003,0.005,0.836,0.285,0.0,3.6609999999999996
20,video10453.mp4__frame22.png,0.0,0.0,0.811,0.362,0.0,3.8810000000000002
21,video10453.mp4__frame44.png,0.012,0.061,0.893,0.002,0.0,2.821
22,video10453.mp4__frame66.png,0.01,0.217,0.788,0.165,0.046,3.698
23,video10453.mp4__frame88.png,0.002,0.011,0.814,0.337,0.008,3.854
24,video10454.mp4__frame110.png,0.031,0.796,0.339,0.034,0.004,2.7960000000000003
25,video10454.mp4__frame132.png,0.014,0.902,0.008,0.001,0.002,1.856
26,video10454.mp4__frame154.png,0.001,0.899,0.009,0.029,0.003,1.9569999999999999
27,video10454.mp4__frame176.png,0.881,0.126,0.001,0.0,0.0,1.136
28,video10454.mp4__frame22.png,0.023,0.503,0.729,0.006,0.0,3.2399999999999998
29,video10454.mp4__frame44.png,0.0,0.0,0.655,0.62,0.001,4.45
30,video10454.mp4__frame66.png,0.0,0.206,0.857,0.019,0.0,3.0589999999999997
31,video10454.mp4__frame88.png,0.001,0.625,0.3,0.401,0.04,3.955
32,video10455.mp4__frame110.png,0.001,0.073,0.782,0.366,0.0,3.957
33,video10455.mp4__frame132.png,0.022,0.202,0.29,0.754,0.0,4.311999999999999
34,video10455.mp4__frame154.png,0.069,0.879,0.068,0.001,0.0,2.035
35,video10455.mp4__frame176.png,0.0,0.001,0.399,0.795,0.003,4.394
36,video10455.mp4__frame22.png,0.0,0.573,0.071,0.656,0.001,3.988
37,video10455.mp4__frame44.png,0.0,0.279,0.836,0.01,0.004,3.126
38,video10455.mp4__frame66.png,0.0,0.014,0.808,0.354,0.003,3.8830000000000005
39,video10455.mp4__frame88.png,0.0,0.004,0.905,0.005,0.0,2.743
40,video10456.mp4__frame110.png,0.0,0.029,0.882,0.095,0.0,3.0839999999999996
41,video10456.mp4__frame132.png,0.01,0.884,0.085,0.017,0.001,2.106
42,video10456.mp4__frame154.png,0.0,0.006,0.899,0.032,0.004,2.857
43,video10456.mp4__frame176.png,0.0,0.047,0.887,0.052,0.004,2.983
