,Filename,Quality_1,Quality_2,Quality_3,Quality_4,Quality_5,Predicted_Quality
0,video31335.mp4__frame110.png,0.786,0.4,0.023,0.001,0,1.659
1,video31335.mp4__frame132.png,0.005,0.774,0.44,0.004,0,2.8890000000000002
2,video31335.mp4__frame154.png,0.538,0.709,0.022,0.0,0,2.022
3,video31335.mp4__frame176.png,0.907,0.0,0.0,0.0,0,0.907
4,video31335.mp4__frame22.png,0.014,0.029,0.898,0.003,0,2.778
5,video31335.mp4__frame44.png,0.834,0.293,0.005,0.0,0,1.4349999999999998
6,video31335.mp4__frame66.png,0.659,0.609,0.011,0.0,0,1.91
7,video31335.mp4__frame88.png,0.87,0.123,0.054,0.0,0,1.278
8,video31336.mp4__frame110.png,0.583,0.351,0.431,0.012,0.002,2.6359999999999997
9,video31336.mp4__frame132.png,0.063,0.137,0.686,0.429,0.009,4.156000000000001
10,video31336.mp4__frame154.png,0.906,0.004,0.0,0.0,0,0.914
11,video31336.mp4__frame176.png,0.595,0.642,0.057,0.004,0.001,2.0709999999999997
12,video31336.mp4__frame22.png,0.895,0.046,0.017,0.001,0,1.042
13,video31336.mp4__frame44.png,0.429,0.115,0.525,0.332,0.006,3.592
14,video31336.mp4__frame66.png,0.903,0.017,0.002,0.0,0,0.9430000000000001
15,video31336.mp4__frame88.png,0.756,0.299,0.191,0.02,0.002,2.017
16,video31337.mp4__frame110.png,0.906,0.002,0.001,0.0,0,0.913
17,video31337.mp4__frame132.png,0.907,0.001,0.0,0.0,0,0.909
18,video31337.mp4__frame154.png,0.898,0.009,0.037,0.0,0,1.0270000000000001
19,video31337.mp4__frame176.png,0.809,0.356,0.008,0.006,0,1.569
20,video31337.mp4__frame22.png,0.901,0.019,0.012,0.0,0,0.9750000000000001
21,video31337.mp4__frame44.png,0.647,0.597,0.044,0.006,0,1.9969999999999999
22,video31337.mp4__frame66.png,0.902,0.022,0.002,0.0,0,0.9520000000000001
23,video31337.mp4__frame88.png,0.906,0.004,0.001,0.0,0,0.917
24,video31403.mp4__frame110.png,0.009,0.81,0.004,0.352,0.001,3.054
25,video31403.mp4__frame132.png,0.012,0.891,0.0,0.073,0,2.086
26,video31403.mp4__frame154.png,0.09,0.817,0.012,0.251,0.001,2.769
27,video31403.mp4__frame176.png,0.011,0.776,0.051,0.39,0.001,3.2809999999999997
