,Filename,Quality_1,Quality_2,Quality_3,Quality_4,Quality_5,Predicted_Quality
0,video17491.mp4__frame66.png,0.007,0.172,0.827,0.15,0,3.432
1,video17491.mp4__frame88.png,0.001,0.481,0.028,0.742,0.001,4.02
2,video17492.mp4__frame22.png,0.003,0.053,0.89,0.03,0,2.899
3,video17492.mp4__frame44.png,0.345,0.086,0.707,0.169,0.011,3.369
4,video17492.mp4__frame66.png,0.224,0.352,0.645,0.145,0.002,3.453
5,video17492.mp4__frame88.png,0.859,0.116,0.08,0.024,0,1.427
6,video17506.mp4__frame110.png,0.056,0.882,0.061,0.008,0,2.035
7,video17506.mp4__frame132.png,0.104,0.858,0.025,0.087,0.006,2.2729999999999997
8,video17506.mp4__frame154.png,0.234,0.622,0.381,0.139,0.001,3.182
9,video17506.mp4__frame176.png,0.111,0.496,0.691,0.005,0,3.196
10,video17506.mp4__frame22.png,0.82,0.337,0.001,0.0,0,1.4969999999999999
11,video17506.mp4__frame44.png,0.021,0.425,0.368,0.569,0.003,4.265999999999999
12,video17506.mp4__frame66.png,0.0,0.002,0.893,0.071,0,2.967
13,video17506.mp4__frame88.png,0.0,0.889,0.037,0.053,0,2.101
14,video17507.mp4__frame110.png,0.907,0.0,0.0,0.0,0,0.907
15,video17507.mp4__frame132.png,0.132,0.88,0.0,0.0,0,1.892
16,video17507.mp4__frame154.png,0.339,0.656,0.35,0.004,0,2.7169999999999996
17,video17507.mp4__frame176.png,0.286,0.796,0.11,0.018,0,2.2800000000000002
18,video17507.mp4__frame22.png,0.21,0.856,0.007,0.009,0,1.9789999999999999
19,video17507.mp4__frame44.png,0.533,0.519,0.314,0.015,0,2.573
20,video17507.mp4__frame66.png,0.112,0.81,0.258,0.007,0,2.5340000000000003
21,video17507.mp4__frame88.png,0.473,0.759,0.0,0.0,0,1.991
22,video17508.mp4__frame110.png,0.0,0.0,0.533,0.723,0,4.491
23,video17508.mp4__frame132.png,0.0,0.001,0.589,0.679,0.004,4.505
24,video17508.mp4__frame154.png,0.002,0.249,0.559,0.552,0.001,4.39
25,video17508.mp4__frame176.png,0.013,0.904,0.005,0.0,0,1.8359999999999999
26,video17508.mp4__frame22.png,0.029,0.094,0.807,0.255,0.006,3.688
27,video17508.mp4__frame44.png,0.586,0.644,0.073,0.001,0,2.097
28,video17508.mp4__frame66.png,0.001,0.149,0.857,0.074,0,3.1659999999999995
29,video17508.mp4__frame88.png,0.0,0.001,0.85,0.244,0.001,3.5329999999999995
30,video17509.mp4__frame110.png,0.035,0.809,0.114,0.217,0.015,2.938
31,video17509.mp4__frame132.png,0.0,0.001,0.893,0.049,0.023,2.992
32,video17509.mp4__frame154.png,0.0,0.0,0.885,0.106,0.004,3.099
33,video17509.mp4__frame176.png,0.001,0.012,0.904,0.004,0.001,2.758
34,video17509.mp4__frame22.png,0.327,0.062,0.801,0.003,0.004,2.886
35,video17509.mp4__frame44.png,0.017,0.098,0.878,0.024,0.003,2.958
36,video17509.mp4__frame66.png,0.0,0.117,0.771,0.339,0.015,3.9780000000000006
37,video17509.mp4__frame88.png,0.021,0.538,0.642,0.114,0.011,3.5340000000000003
38,video17510.mp4__frame110.png,0.755,0.375,0.13,0.0,0,1.895
39,video17510.mp4__frame132.png,0.904,0.014,0.0,0.0,0,0.932
40,video17510.mp4__frame154.png,0.708,0.476,0.108,0.001,0,1.988
41,video17510.mp4__frame176.png,0.174,0.559,0.562,0.066,0,3.242
42,video17510.mp4__frame22.png,0.895,0.059,0.004,0.0,0,1.025
43,video17510.mp4__frame44.png,0.047,0.89,0.039,0.001,0,1.948
44,video17510.mp4__frame66.png,0.02,0.899,0.017,0.003,0,1.881
45,video17510.mp4__frame88.png,0.01,0.032,0.897,0.011,0,2.8089999999999997
46,video17511.mp4__frame110.png,0.012,0.904,0.005,0.0,0,1.835
47,video17511.mp4__frame132.png,0.85,0.244,0.004,0.0,0,1.35
48,video17511.mp4__frame154.png,0.001,0.047,0.893,0.026,0,2.8780000000000006
49,video17511.mp4__frame176.png,0.109,0.677,0.513,0.009,0.001,3.043
50,video17511.mp4__frame22.png,0.903,0.019,0.0,0.0,0,0.9410000000000001
51,video17511.mp4__frame44.png,0.907,0.001,0.0,0.0,0,0.909
52,video17511.mp4__frame66.png,0.811,0.362,0.002,0.0,0,1.5410000000000001
53,video17511.mp4__frame88.png,0.899,0.042,0.001,0.0,0,0.986
