,Filename,Quality_1,Quality_2,Quality_3,Quality_4,Quality_5,Predicted_Quality
2500,video27201.mp4__frame44.png,0.0,0.0,0.022,0.903,0.001,3.683
2501,video27201.mp4__frame66.png,0.0,0.0,0.003,0.905,0.01,3.679
2502,video27201.mp4__frame88.png,0.0,0.0,0.027,0.899,0.017,3.762
2503,video27265.mp4__frame110.png,0.0,0.001,0.447,0.77,0.006,4.453
2504,video27265.mp4__frame132.png,0.0,0.0,0.025,0.902,0.0,3.6830000000000003
2505,video27265.mp4__frame154.png,0.0,0.001,0.045,0.893,0.025,3.834
2506,video27265.mp4__frame176.png,0.195,0.777,0.122,0.149,0.003,2.7260000000000004
2507,video27265.mp4__frame22.png,0.001,0.051,0.892,0.02,0.004,2.8790000000000004
2508,video27265.mp4__frame44.png,0.0,0.001,0.242,0.851,0.003,4.146999999999999
2509,video27265.mp4__frame66.png,0.0,0.163,0.47,0.679,0.008,4.492
2510,video27265.mp4__frame88.png,0.0,0.0,0.006,0.906,0.001,3.647
2511,video27309.mp4__frame110.png,0.0,0.906,0.0,0.005,0.0,1.832
2512,video27309.mp4__frame132.png,0.07,0.891,0.001,0.013,0.0,1.907
2513,video27309.mp4__frame154.png,0.091,0.862,0.045,0.072,0.002,2.2479999999999998
2514,video27309.mp4__frame176.png,0.409,0.752,0.052,0.043,0.002,2.251
2515,video27309.mp4__frame22.png,0.0,0.853,0.052,0.188,0.0,2.614
2516,video27309.mp4__frame44.png,0.703,0.224,0.029,0.36,0.002,2.6879999999999997
2517,video27309.mp4__frame66.png,0.9,0.023,0.002,0.014,0.001,1.013
2518,video27309.mp4__frame88.png,0.001,0.903,0.0,0.019,0.0,1.883
2519,video27310.mp4__frame110.png,0.709,0.328,0.262,0.005,0.01,2.2209999999999996
2520,video27310.mp4__frame132.png,0.765,0.326,0.063,0.092,0.008,2.0140000000000002
2521,video27310.mp4__frame154.png,0.103,0.839,0.006,0.18,0.0,2.519
2522,video27310.mp4__frame176.png,0.549,0.709,0.003,0.006,0.0,2.0
2523,video27310.mp4__frame22.png,0.392,0.794,0.012,0.001,0.0,2.02
2524,video27310.mp4__frame44.png,0.694,0.524,0.035,0.037,0.0,1.9949999999999999
2525,video27310.mp4__frame66.png,0.562,0.568,0.223,0.002,0.0,2.375
2526,video27310.mp4__frame88.png,0.393,0.714,0.095,0.089,0.013,2.5269999999999997
2527,video27311.mp4__frame110.png,0.001,0.052,0.875,0.1,0.002,3.1399999999999997
2528,video27311.mp4__frame132.png,0.061,0.469,0.681,0.107,0.001,3.4749999999999996
2529,video27311.mp4__frame154.png,0.0,0.0,0.513,0.736,0.0,4.4830000000000005
2530,video27311.mp4__frame176.png,0.0,0.0,0.033,0.901,0.0,3.7030000000000003
2531,video27311.mp4__frame22.png,0.008,0.032,0.892,0.038,0.001,2.9050000000000002
2532,video27311.mp4__frame44.png,0.003,0.028,0.792,0.378,0.002,3.9570000000000003
2533,video27311.mp4__frame66.png,0.008,0.065,0.886,0.032,0.001,2.929
2534,video27311.mp4__frame88.png,0.0,0.041,0.883,0.077,0.002,3.0489999999999995
2535,video27639.mp4__frame110.png,0.826,0.289,0.02,0.014,0.003,1.535
2536,video27639.mp4__frame132.png,0.677,0.436,0.067,0.085,0.065,2.415
2537,video27639.mp4__frame154.png,0.808,0.251,0.097,0.023,0.012,1.7530000000000001
2538,video27639.mp4__frame176.png,0.212,0.537,0.544,0.08,0.004,3.258
2539,video27639.mp4__frame22.png,0.001,0.151,0.841,0.076,0.057,3.4149999999999996
2540,video27639.mp4__frame44.png,0.0,0.0,0.143,0.877,0.002,3.9469999999999996
2541,video27639.mp4__frame66.png,0.0,0.003,0.311,0.789,0.116,4.675000000000001
2542,video27639.mp4__frame88.png,0.027,0.705,0.456,0.088,0.025,3.2819999999999996
2543,video27640.mp4__frame110.png,0.001,0.066,0.893,0.002,0.002,2.83
2544,video27640.mp4__frame132.png,0.002,0.066,0.856,0.104,0.06,3.4179999999999997
2545,video27640.mp4__frame154.png,0.0,0.002,0.906,0.003,0.001,2.739
2546,video27640.mp4__frame176.png,0.001,0.281,0.73,0.244,0.042,3.939
2547,video27640.mp4__frame22.png,0.001,0.046,0.894,0.017,0.006,2.8729999999999998
2548,video27640.mp4__frame44.png,0.001,0.037,0.868,0.142,0.005,3.2720000000000002
2549,video27640.mp4__frame66.png,0.0,0.437,0.625,0.28,0.02,3.9690000000000003
2550,video27640.mp4__frame88.png,0.0,0.009,0.905,0.001,0.0,2.7369999999999997
2551,video27644.mp4__frame110.png,0.001,0.0,0.704,0.235,0.375,4.928
2552,video27644.mp4__frame132.png,0.0,0.0,0.904,0.014,0.003,2.7830000000000004
2553,video27644.mp4__frame154.png,0.0,0.0,0.603,0.669,0.003,4.5
2554,video27644.mp4__frame176.png,0.0,0.0,0.682,0.587,0.003,4.409
2555,video27644.mp4__frame22.png,0.002,0.001,0.889,0.069,0.021,3.052
2556,video27644.mp4__frame44.png,0.0,0.0,0.79,0.393,0.024,4.062
2557,video27644.mp4__frame66.png,0.0,0.0,0.888,0.097,0.001,3.057
2558,video27644.mp4__frame88.png,0.0,0.0,0.35,0.765,0.136,4.789999999999999
2559,video27646.mp4__frame110.png,0.0,0.0,0.905,0.009,0.0,2.751
2560,video27646.mp4__frame132.png,0.0,0.0,0.898,0.045,0.0,2.874
2561,video27646.mp4__frame154.png,0.0,0.0,0.895,0.063,0.0,2.9370000000000003
2562,video27646.mp4__frame176.png,0.0,0.0,0.906,0.005,0.0,2.738
2563,video27646.mp4__frame22.png,0.0,0.0,0.906,0.003,0.0,2.73
2564,video27646.mp4__frame44.png,0.0,0.0,0.906,0.004,0.0,2.734
2565,video27646.mp4__frame66.png,0.0,0.001,0.906,0.002,0.001,2.7329999999999997
2566,video27646.mp4__frame88.png,0.0,0.002,0.905,0.008,0.0,2.751
2567,video27648.mp4__frame110.png,0.0,0.0,0.907,0.0,0.0,2.721
2568,video27648.mp4__frame132.png,0.0,0.0,0.907,0.0,0.0,2.721
2569,video27648.mp4__frame154.png,0.0,0.0,0.906,0.003,0.0,2.73
2570,video27648.mp4__frame176.png,0.0,0.0,0.907,0.0,0.0,2.721
2571,video27648.mp4__frame22.png,0.0,0.0,0.907,0.0,0.0,2.721
2572,video27648.mp4__frame44.png,0.0,0.0,0.906,0.004,0.0,2.734
2573,video27648.mp4__frame66.png,0.0,0.0,0.907,0.0,0.0,2.721
2574,video27648.mp4__frame88.png,0.0,0.001,0.907,0.0,0.0,2.723
2575,video27649.mp4__frame110.png,0.02,0.069,0.75,0.417,0.004,4.095999999999999
2576,video27649.mp4__frame132.png,0.876,0.116,0.021,0.011,0.0,1.215
2577,video27649.mp4__frame154.png,0.885,0.069,0.039,0.002,0.001,1.153
2578,video27649.mp4__frame176.png,0.88,0.087,0.044,0.003,0.002,1.208
2579,video27649.mp4__frame22.png,0.0,0.0,0.326,0.816,0.026,4.372
2580,video27649.mp4__frame44.png,0.0,0.0,0.144,0.876,0.004,3.956
2581,video27649.mp4__frame66.png,0.0,0.0,0.244,0.85,0.003,4.146999999999999
2582,video27649.mp4__frame88.png,0.0,0.0,0.138,0.878,0.005,3.951
2583,video27650.mp4__frame110.png,0.0,0.0,0.891,0.084,0.0,3.009
2584,video27650.mp4__frame132.png,0.0,0.0,0.788,0.416,0.0,4.028
2585,video27650.mp4__frame154.png,0.001,0.015,0.885,0.096,0.0,3.0700000000000003
2586,video27650.mp4__frame176.png,0.319,0.187,0.756,0.002,0.0,2.969
2587,video27650.mp4__frame22.png,0.0,0.0,0.424,0.784,0.0,4.408
2588,video27650.mp4__frame44.png,0.0,0.0,0.67,0.603,0.001,4.4270000000000005
2589,video27650.mp4__frame66.png,0.0,0.001,0.596,0.675,0.001,4.495
2590,video27650.mp4__frame88.png,0.0,0.0,0.275,0.84,0.004,4.204999999999999
2591,video27862.mp4__frame110.png,0.001,0.021,0.64,0.62,0.005,4.468
2592,video27862.mp4__frame132.png,0.0,0.001,0.878,0.1,0.042,3.2459999999999996
2593,video27862.mp4__frame154.png,0.0,0.0,0.738,0.51,0.001,4.2589999999999995
2594,video27862.mp4__frame176.png,0.0,0.0,0.628,0.642,0.01,4.502
2595,video27862.mp4__frame22.png,0.006,0.759,0.466,0.0,0.003,2.9370000000000003
2596,video27862.mp4__frame44.png,0.001,0.88,0.067,0.009,0.058,2.2880000000000003
2597,video27862.mp4__frame66.png,0.0,0.056,0.075,0.88,0.003,3.8720000000000003
2598,video27862.mp4__frame88.png,0.0,0.257,0.274,0.736,0.023,4.3950000000000005
2599,video27863.mp4__frame110.png,0.003,0.707,0.094,0.486,0.0,3.643
2600,video27863.mp4__frame132.png,0.033,0.833,0.121,0.154,0.0,2.678
2601,video27863.mp4__frame154.png,0.001,0.887,0.006,0.095,0.001,2.178
2602,video27863.mp4__frame176.png,0.006,0.9,0.001,0.03,0.001,1.9339999999999997
2603,video27863.mp4__frame22.png,0.004,0.904,0.008,0.001,0.0,1.84
2604,video27863.mp4__frame44.png,0.011,0.163,0.867,0.013,0.0,2.99
2605,video27863.mp4__frame66.png,0.03,0.737,0.458,0.025,0.015,3.0530000000000004
2606,video27863.mp4__frame88.png,0.195,0.759,0.265,0.043,0.004,2.7
2607,video27864.mp4__frame110.png,0.0,0.003,0.043,0.897,0.005,3.7479999999999998
2608,video27864.mp4__frame132.png,0.017,0.022,0.171,0.426,0.687,5.713000000000001
2609,video27864.mp4__frame154.png,0.156,0.003,0.85,0.014,0.078,3.158
2610,video27864.mp4__frame176.png,0.035,0.016,0.385,0.771,0.03,4.456
2611,video27864.mp4__frame22.png,0.011,0.9,0.025,0.0,0.0,1.886
2612,video27864.mp4__frame44.png,0.0,0.018,0.867,0.169,0.001,3.318
2613,video27864.mp4__frame66.png,0.001,0.026,0.646,0.397,0.286,5.009
2614,video27864.mp4__frame88.png,0.003,0.022,0.441,0.673,0.191,5.017
2615,video27865.mp4__frame110.png,0.0,0.01,0.021,0.9,0.007,3.7180000000000004
2616,video27865.mp4__frame132.png,0.0,0.001,0.097,0.883,0.021,3.93
2617,video27865.mp4__frame154.png,0.035,0.001,0.285,0.754,0.195,4.883
2618,video27865.mp4__frame176.png,0.579,0.112,0.49,0.061,0.138,3.2069999999999994
2619,video27865.mp4__frame22.png,0.379,0.79,0.032,0.006,0.002,2.089
2620,video27865.mp4__frame44.png,0.009,0.006,0.891,0.055,0.012,2.974
2621,video27865.mp4__frame66.png,0.012,0.001,0.574,0.67,0.032,4.5760000000000005
2622,video27865.mp4__frame88.png,0.0,0.0,0.074,0.889,0.019,3.873
2623,video27866.mp4__frame110.png,0.101,0.202,0.574,0.48,0.026,4.277
2624,video27866.mp4__frame132.png,0.044,0.702,0.458,0.09,0.009,3.227
2625,video27866.mp4__frame154.png,0.001,0.183,0.683,0.415,0.046,4.306000000000001
2626,video27866.mp4__frame176.png,0.002,0.744,0.061,0.45,0.002,3.4829999999999997
2627,video27866.mp4__frame22.png,0.015,0.883,0.017,0.085,0.001,2.1769999999999996
2628,video27866.mp4__frame44.png,0.0,0.014,0.058,0.89,0.013,3.827
2629,video27866.mp4__frame66.png,0.027,0.898,0.002,0.02,0.0,1.909
2630,video27866.mp4__frame88.png,0.007,0.717,0.395,0.171,0.009,3.355
2631,video27867.mp4__frame110.png,0.007,0.754,0.175,0.317,0.015,3.383
2632,video27867.mp4__frame132.png,0.006,0.903,0.001,0.014,0.0,1.871
2633,video27867.mp4__frame154.png,0.672,0.537,0.094,0.0,0.0,2.028
2634,video27867.mp4__frame176.png,0.031,0.497,0.64,0.158,0.017,3.662
2635,video27867.mp4__frame22.png,0.003,0.812,0.228,0.132,0.008,2.879
2636,video27867.mp4__frame44.png,0.001,0.551,0.024,0.684,0.027,4.046
2637,video27867.mp4__frame66.png,0.007,0.892,0.008,0.039,0.021,2.076
2638,video27867.mp4__frame88.png,0.002,0.836,0.189,0.06,0.047,2.7159999999999997
2639,video27868.mp4__frame110.png,0.202,0.845,0.053,0.013,0.001,2.1079999999999997
2640,video27868.mp4__frame132.png,0.031,0.76,0.271,0.191,0.011,3.1830000000000003
2641,video27868.mp4__frame154.png,0.652,0.61,0.018,0.004,0.001,1.9469999999999998
2642,video27868.mp4__frame176.png,0.832,0.097,0.208,0.002,0.004,1.678
2643,video27868.mp4__frame22.png,0.04,0.061,0.848,0.151,0.008,3.35
2644,video27868.mp4__frame44.png,0.057,0.877,0.01,0.069,0.01,2.167
2645,video27868.mp4__frame66.png,0.027,0.879,0.095,0.007,0.009,2.143
2646,video27868.mp4__frame88.png,0.022,0.892,0.051,0.002,0.001,1.972
2647,video27869.mp4__frame110.png,0.001,0.82,0.087,0.155,0.109,3.0669999999999997
2648,video27869.mp4__frame132.png,0.0,0.424,0.177,0.617,0.157,4.632
2649,video27869.mp4__frame154.png,0.004,0.818,0.009,0.309,0.028,3.0429999999999997
2650,video27869.mp4__frame176.png,0.001,0.677,0.321,0.314,0.026,3.7039999999999997
2651,video27869.mp4__frame22.png,0.039,0.829,0.138,0.095,0.049,2.7359999999999998
2652,video27869.mp4__frame44.png,0.011,0.567,0.368,0.421,0.02,4.0329999999999995
2653,video27869.mp4__frame66.png,0.0,0.002,0.021,0.897,0.03,3.805
2654,video27869.mp4__frame88.png,0.003,0.166,0.442,0.158,0.607,5.328
2655,video27870.mp4__frame110.png,0.148,0.567,0.307,0.258,0.135,3.91
2656,video27870.mp4__frame132.png,0.02,0.163,0.814,0.135,0.05,3.578
2657,video27870.mp4__frame154.png,0.648,0.511,0.157,0.011,0.004,2.205
2658,video27870.mp4__frame176.png,0.621,0.391,0.296,0.055,0.009,2.556
2659,video27870.mp4__frame22.png,0.023,0.735,0.425,0.082,0.011,3.151
2660,video27870.mp4__frame44.png,0.255,0.66,0.262,0.087,0.1,3.209
2661,video27870.mp4__frame66.png,0.061,0.863,0.088,0.045,0.012,2.2910000000000004
2662,video27870.mp4__frame88.png,0.003,0.712,0.031,0.509,0.022,3.666
2663,video27891.mp4__frame110.png,0.124,0.552,0.13,0.53,0.044,3.958
2664,video27891.mp4__frame132.png,0.152,0.061,0.248,0.771,0.018,4.192
2665,video27891.mp4__frame154.png,0.027,0.536,0.611,0.17,0.001,3.617
2666,video27891.mp4__frame176.png,0.0,0.099,0.796,0.011,0.302,4.14
2667,video27891.mp4__frame22.png,0.007,0.162,0.868,0.013,0.001,2.992
2668,video27891.mp4__frame44.png,0.378,0.799,0.008,0.006,0.001,2.029
2669,video27891.mp4__frame66.png,0.0,0.11,0.871,0.005,0.056,3.133
2670,video27891.mp4__frame88.png,0.008,0.066,0.839,0.21,0.003,3.512
2671,video27893.mp4__frame110.png,0.089,0.103,0.862,0.007,0.008,2.949
2672,video27893.mp4__frame132.png,0.003,0.782,0.053,0.378,0.005,3.263
2673,video27893.mp4__frame154.png,0.017,0.404,0.399,0.384,0.232,4.718
2674,video27893.mp4__frame176.png,0.597,0.586,0.05,0.003,0.096,2.411
2675,video27893.mp4__frame22.png,0.113,0.098,0.832,0.088,0.016,3.237
2676,video27893.mp4__frame44.png,0.877,0.125,0.016,0.006,0.0,1.199
2677,video27893.mp4__frame66.png,0.018,0.823,0.224,0.077,0.022,2.7539999999999996
2678,video27893.mp4__frame88.png,0.9,0.037,0.001,0.0,0.001,0.982
2679,video27894.mp4__frame110.png,0.856,0.001,0.181,0.034,0.014,1.607
2680,video27894.mp4__frame132.png,0.011,0.0,0.871,0.157,0.003,3.2670000000000003
2681,video27894.mp4__frame154.png,0.907,0.0,0.0,0.0,0.0,0.907
2682,video27894.mp4__frame176.png,0.907,0.001,0.0,0.0,0.0,0.909
2683,video27894.mp4__frame22.png,0.893,0.001,0.066,0.003,0.001,1.1099999999999999
2684,video27894.mp4__frame44.png,0.031,0.0,0.784,0.395,0.007,3.9980000000000007
2685,video27894.mp4__frame66.png,0.001,0.0,0.9,0.033,0.004,2.853
2686,video27894.mp4__frame88.png,0.906,0.001,0.002,0.0,0.0,0.914
2687,video27895.mp4__frame110.png,0.906,0.002,0.004,0.0,0.0,0.922
2688,video27895.mp4__frame132.png,0.24,0.003,0.841,0.012,0.025,2.9419999999999997
2689,video27895.mp4__frame154.png,0.012,0.057,0.698,0.469,0.068,4.436
2690,video27895.mp4__frame176.png,0.906,0.001,0.003,0.0,0.0,0.917
2691,video27895.mp4__frame22.png,0.636,0.001,0.639,0.0,0.0,2.555
2692,video27895.mp4__frame44.png,0.06,0.004,0.888,0.024,0.008,2.8680000000000003
2693,video27895.mp4__frame66.png,0.043,0.007,0.893,0.002,0.02,2.8440000000000003
2694,video27895.mp4__frame88.png,0.905,0.002,0.01,0.0,0.0,0.9390000000000001
2695,video27896.mp4__frame110.png,0.0,0.017,0.863,0.083,0.104,3.4749999999999996
2696,video27896.mp4__frame132.png,0.0,0.006,0.875,0.083,0.066,3.299
2697,video27896.mp4__frame154.png,0.006,0.035,0.893,0.02,0.01,2.8850000000000002
2698,video27896.mp4__frame176.png,0.001,0.009,0.895,0.05,0.003,2.9190000000000005
2699,video27896.mp4__frame22.png,0.83,0.307,0.003,0.001,0.0,1.4569999999999999
2700,video27896.mp4__frame44.png,0.873,0.155,0.004,0.001,0.0,1.199
2701,video27896.mp4__frame66.png,0.003,0.331,0.376,0.594,0.084,4.589
2702,video27896.mp4__frame88.png,0.0,0.007,0.88,0.021,0.104,3.258
2703,video27909.mp4__frame110.png,0.0,0.0,0.894,0.053,0.012,2.954
2704,video27909.mp4__frame132.png,0.0,0.001,0.01,0.894,0.054,3.878
2705,video27909.mp4__frame154.png,0.0,0.001,0.765,0.371,0.11,4.3309999999999995
2706,video27909.mp4__frame176.png,0.0,0.006,0.895,0.057,0.001,2.93
2707,video27909.mp4__frame22.png,0.0,0.13,0.652,0.532,0.006,4.3740000000000006
2708,video27909.mp4__frame44.png,0.0,0.8,0.327,0.047,0.024,2.8890000000000007
2709,video27909.mp4__frame66.png,0.0,0.0,0.158,0.007,0.872,4.862
2710,video27909.mp4__frame88.png,0.0,0.003,0.899,0.015,0.024,2.883
2711,video27910.mp4__frame110.png,0.0,0.001,0.104,0.821,0.241,4.803
2712,video27910.mp4__frame132.png,0.0,0.0,0.205,0.859,0.011,4.106
2713,video27910.mp4__frame154.png,0.0,0.001,0.004,0.901,0.027,3.753
2714,video27910.mp4__frame176.png,0.0,0.021,0.343,0.806,0.014,4.365
2715,video27910.mp4__frame22.png,0.0,0.002,0.809,0.17,0.207,4.146
2716,video27910.mp4__frame44.png,0.0,0.066,0.312,0.759,0.127,4.739
2717,video27910.mp4__frame66.png,0.0,0.0,0.236,0.706,0.37,5.382
2718,video27910.mp4__frame88.png,0.0,0.018,0.374,0.156,0.735,5.457
2719,video27911.mp4__frame110.png,0.0,0.009,0.905,0.001,0.0,2.7369999999999997
2720,video27911.mp4__frame132.png,0.001,0.023,0.902,0.004,0.0,2.769
2721,video27911.mp4__frame154.png,0.04,0.757,0.446,0.001,0.0,2.8960000000000004
2722,video27911.mp4__frame176.png,0.0,0.0,0.906,0.002,0.0,2.726
2723,video27911.mp4__frame22.png,0.003,0.367,0.806,0.002,0.004,3.1830000000000003
2724,video27911.mp4__frame44.png,0.0,0.011,0.891,0.055,0.014,2.985
2725,video27911.mp4__frame66.png,0.001,0.187,0.852,0.053,0.004,3.1630000000000003
2726,video27911.mp4__frame88.png,0.006,0.038,0.898,0.002,0.003,2.799
2727,video27912.mp4__frame110.png,0.0,0.049,0.891,0.026,0.006,2.905
2728,video27912.mp4__frame132.png,0.0,0.0,0.003,0.906,0.001,3.638
2729,video27912.mp4__frame154.png,0.003,0.888,0.062,0.032,0.0,2.093
2730,video27912.mp4__frame176.png,0.004,0.637,0.632,0.007,0.0,3.202
2731,video27912.mp4__frame22.png,0.003,0.07,0.882,0.05,0.0,2.989
2732,video27912.mp4__frame44.png,0.004,0.079,0.884,0.033,0.0,2.946
2733,video27912.mp4__frame66.png,0.0,0.001,0.335,0.795,0.075,4.562
2734,video27912.mp4__frame88.png,0.032,0.887,0.019,0.052,0.0,2.071
2735,video27918.mp4__frame110.png,0.007,0.385,0.723,0.169,0.014,3.692
2736,video27918.mp4__frame132.png,0.0,0.012,0.904,0.003,0.0,2.748
2737,video27918.mp4__frame154.png,0.0,0.878,0.028,0.098,0.016,2.3120000000000003
